Haul.no,Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,family,species,split.mult,no.individuals,volume.filtered.m3,concentration.1000m3,notes
101-1-0,101,1,0,winter,NH,1,MaN,,,,,,,,sample 101-1-0 completely lost due to a spill
101-1-1,101,1,1,winter,NH,1,MaN,2,Scorpaenidae,Sebastes spp.,1,2,,,With CR's fish
,101,1,1,winter,NH,1,MaN,1,Cyclopteridae,Liparis spp.,1,1,,,
,101,1,1,winter,NH,1,MaN,9,Pleuronectidae,Parophrys vetulus,1,9,,,with EC's fish
,101,1,1,winter,NH,1,MaN,2,Pleuronectidae,Psettichthys melanostictus,1,2,,,
,101,1,1,winter,NH,1,MaN,7,unknown,Damaged,1,7,,,
,101,1,1,winter,NH,1,MaN,1,unknown,fish egg(s),1,1,,,
,101,1,1,winter,NH,1,MaN,1,unknown,Unknown,1,1,,,"small, not much pigment, can't see gut. was ID'd as Lipolagus ochotensis"
101-1-2,101,1,2,winter,NH,1,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,
,101,1,2,winter,NH,1,MaN,22,Scorpaenidae,Sebastes spp.,1,22,,,With CR's fish
,101,1,2,winter,NH,1,MaN,4,Pleuronectidae,Parophrys vetulus,1,4,,,with EC's fish
,101,1,2,winter,NH,1,MaN,5,Pleuronectidae,Unknown,1,5,,,tiny pleuronectids
,101,1,2,winter,NH,1,MaN,1,Cottidae,Hemilepodotus spp.,1,1,,,might have some yolk sac
,101,1,2,winter,NH,1,MaN,2,unknown,Damaged,1,2,,,
101-1-3,101,1,3,winter,NH,1,MaN,1,Scorpaenidae,Sebastes spp.,1,1,,,with CR's fish
,101,1,3,winter,NH,1,MaN,1,Cyclopteridae,Liparis spp.,1,1,,,
,101,1,3,winter,NH,1,MaN,1,Pleuronectidae,Glyptocephalus zachirus,1,1,,,
,101,1,3,winter,NH,1,MaN,3,Pleuronectidae,Parophrys vetulus,1,3,,,with EC's fish
,101,1,3,winter,NH,1,MaN,4,unknown,Damaged,1,4,,,
101-1-4,101,1,4,winter,NH,1,MaN,5,Scorpaenidae,Sebastes spp.,1,5,,,with CR's fish
,101,1,4,winter,NH,1,MaN,1,Paralichthyidae,Citharichthys stigmaeus,1,1,,,
,101,1,4,winter,NH,1,MaN,1,Pleuronectidae,Glyptocephalus zachirus,1,1,,,
,101,1,4,winter,NH,1,MaN,5,Pleuronectidae,Isopsetta isolepis,1,5,,,
,101,1,4,winter,NH,1,MaN,5,Pleuronectidae,Parophrys vetulus,1,5,,,with EC's fish
101-4-0,101,4,0,winter,NH,1,MaN,6,Scorpaenidae,Sebastes spp.,1,6,,,with CR's fish
,101,4,0,winter,NH,1,MaN,3,unknown,Damaged,1,3,,,
,101,4,0,winter,NH,1,MaN,3,Pleuronectidae,Parophrys vetulus,1,3,,,with EC's fish
,101,4,0,winter,NH,1,MaN,7,unknown,fish egg(s),1,7,,,4 G. zachirus eggs
101-4-1,101,4,1,winter,NH,1,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,"of two jars in this sample, jar 1/2 was completely lost due to a spill"
